School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees, Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
"Ganga International School, Kablana",124104,1832,LKG,17,,,2030,Onetime,1990,Monthly,,,,,11720,Annually,,,37630,2967
"Ganga International School, Kablana",124104,1832,UKG,16,,,2030,Onetime,1990,Monthly,,,,,11720,Annually,,,37630,2967
"Ganga International School, Kablana",124104,1832,1,1,,,2030,Onetime,2260,Monthly,,,,,11720,Annually,,,40870,3237
"Ganga International School, Kablana",124104,1832,2,2,,,2030,Onetime,2260,Monthly,,,,,11720,Annually,,,40870,3237
"Ganga International School, Kablana",124104,1832,3,3,,,2030,Onetime,2260,Monthly,,,,,11720,Annually,,,40870,3237
"Ganga International School, Kablana",124104,1832,4,4,,,2030,Onetime,2260,Monthly,,,,,11720,Annually,,,40870,3237
"Ganga International School, Kablana",124104,1832,5,5,,,2030,Onetime,2260,Monthly,,,,,11720,Annually,,,40870,3237
"Ganga International School, Kablana",124104,1832,6,6,,,2030,Onetime,2380,Monthly,,,,,11720,Annually,,,42310,3357
"Ganga International School, Kablana",124104,1832,7,7,,,2030,Onetime,2380,Monthly,,,,,11720,Annually,,,42310,3357
"Ganga International School, Kablana",124104,1832,8,8,,,2030,Onetime,2380,Monthly,,,,,11720,Annually,,,42310,3357
"Ganga International School, Kablana",124104,1832,9,9,,,2030,Onetime,2530,Monthly,,,,,11720,Annually,,,44110,3507
"Ganga International School, Kablana",124104,1832,10,10,,,2030,Onetime,2530,Monthly,,,,,11720,Annually,,,44110,3507
"Ganga International School, Kablana",124104,1832,11th,14,Science,2,2030,Onetime,3190,Monthly,,,,,21200,Annually,,,61510,4957
"Ganga International School, Kablana",124104,1832,11th,14,Commerce,1,2030,Onetime,3190,Monthly,,,,,12560,Annually,,,52870,4237
"Ganga International School, Kablana",124104,1832,11th,14,Arts,3,2030,Onetime,3190,Monthly,,,,,15200,Annually,,,55510,4457
"Ganga International School, Kablana",124104,1832,12th,15,Science,2,2030,Onetime,3190,Monthly,,,,,21200,Annually,,,61510,4957
"Ganga International School, Kablana",124104,1832,12th,15,Commerce,1,2030,Onetime,3190,Monthly,,,,,12560,Annually,,,52870,4237
"Ganga International School, Kablana",124104,1832,12th,15,Arts,3,2030,Onetime,3190,Monthly,,,,,15200,Annually,,,55510,4457