School_Id,School Name
293,Sanfort World School
2008,Shemford Futuristic School
371,Summer Fields School
1913,Suraj School
4122,Pragatti International School
3162,Master Mind Global English School
315,RPM Lovely Public Sr. Sec. School
270,The Baptist Convent Sr. Sec School
291,Guru Tegh Bahadur Public School
253,Ramagya School
328,Billabong High International School	
885,Parevartan School
4440,Knowledgeum Academy 
1865,Silverline Prestige School
860,Silverline Prestige School
863,Schiller Institute Senior Secondary School